Label,Degree,Comfort,Stubbornness,Number of iterations,Offeror Positive Loss,Offeror Negative Loss,Acceptor Positive Loss,Acceptor Negative Loss,Offerer Count,Acceptor Count,Offeror Success,Offeror Failure,Acceptor Success,Acceptor Failure
71,4,1.0,0.42864,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
72,46,1.0,0.42051,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
73,18,0.0,0.26446,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
75,26,1.0,0.30966,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
76,4,0.0,0.00276,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
77,10,0.0,0.02903,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
78,16,1.0,0.90393,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
79,22,0.0,0.19202,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
80,44,1.0,0.472,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
81,4,1.0,0.66284,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
82,66,1.0,0.8294,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
83,12,1.0,0.75353,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
84,24,1.0,0.5902,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
85,26,0.0,0.48493,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
86,10,1.0,0.28472,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
87,24,0.0,0.79134,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
88,38,1.0,0.56398,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
89,14,0.0,0.5939,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
91,14,1.0,0.53678,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
92,40,1.0,0.03487,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
93,14,0.0,0.53214,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
94,42,0.0,0.88153,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
95,10,1.0,0.49402,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
96,16,0.0,0.51065,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
97,4,1.0,0.98349,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
98,96,1.0,0.93357,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
99,24,1.0,0.22768,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
100,16,0.0,0.78006,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
101,36,0.0,0.96569,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
102,10,1.0,0.42565,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
103,30,1.0,0.98743,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
104,62,1.0,0.86869,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
105,26,0.0,0.79124,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
106,14,0.0,0.58242,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
107,54,1.0,0.81518,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
108,24,1.0,0.89716,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
109,72,1.0,0.9784,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
110,8,0.0,0.04018,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
111,26,1.0,0.11093,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
112,4,0.0,0.98335,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
113,78,1.0,0.692,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
115,40,1.0,0.74385,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
116,32,1.0,0.97435,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
117,10,0.0,0.33736,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
118,70,1.0,0.94489,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
119,122,1.0,0.33795,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
120,6,0.0,0.10114,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
121,22,1.0,0.36128,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
122,124,1.0,0.19722,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
123,34,0.0,0.98266,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
124,6,1.0,0.08677,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
125,6,1.0,0.84001,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
126,12,1.0,0.03103,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
127,30,1.0,0.38074,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
128,54,1.0,0.1428,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
129,12,1.0,0.20828,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
